InvoiceNo,UnitPrice,OrderValue,Quantity,Country,InvoiceDate,InvoiceTime,Year-Month,Major Category,Minor Category,Description
549185,0.85,10.2,12,United Kingdom,7/4/2011,09:35,2011-04,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN
576381,2.95,35.4,12,United Kingdom,15/11/2011,09:26,2011-11,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD
551192,1.25,20,16,United Kingdom,27/4/2011,10:54,2011-04,Kitchen,Cutlery,36 PENCILS TUBE SKULLS
573553,7.46,7.46,1,United Kingdom,31/10/2011,13:48,2011-10,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE
539436,2.51,2.51,1,United Kingdom,17/12/2010,14:49,2010-12,Garden,Hoses,FINE WICKER HEART
580893,3.95,3.95,1,United Kingdom,6/12/2011,12:38,2011-12,Garden,Hoses,SEWING BOX RETROSPOT DESIGN
568321,2.1,12.6,6,United Kingdom,26/9/2011,13:36,2011-09,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET
552949,4.95,29.7,6,United Kingdom,12/5/2011,12:01,2011-05,Clothes,Tops,BULL DOG BOTTLE OPENER
567461,2.46,44.28,18,United Kingdom,20/9/2011,12:31,2011-09,Household,Curtains,STRAWBERRY CHARLOTTE BAG
542121,1.69,3.38,2,United Kingdom,25/1/2011,14:33,2011-01,Household,Lamps,FAIRY SOAP SOAP HOLDER
566913,0.39,1.56,4,United Kingdom,15/9/2011,14:07,2011-09,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES
550477,0.55,0.55,1,United Kingdom,18/4/2011,14:01,2011-04,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES
538663,12.75,25.5,2,United Kingdom,13/12/2010,15:45,2010-12,Household,Rugs,CAKE STAND 3 TIER MAGIC GARDEN
570715,1.25,30,24,United Kingdom,12/10/2011,10:23,2011-10,Household,Chairs,ICE CREAM PEN LIP GLOSS
549299,1.65,16.5,10,United Kingdom,8/4/2011,08:20,2011-04,Clothes,Shoes,LUNCH BAG CARS BLUE
559902,1.65,1.65,1,United Kingdom,13/7/2011,13:14,2011-07,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM
537369,4.25,4.25,1,United Kingdom,6/12/2010,12:41,2010-12,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE
564353,2.1,25.2,12,United Kingdom,24/8/2011,15:08,2011-08,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN
562455,4.25,25.5,6,United Kingdom,5/8/2011,10:32,2011-08,Household,Rugs,JAM MAKING SET WITH JARS
539451,1.28,1.28,1,United Kingdom,17/12/2010,16:59,2010-12,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT
537057,2.95,2.95,1,United Kingdom,5/12/2010,11:49,2010-12,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS
549568,1.45,34.8,24,United Kingdom,10/4/2011,15:09,2011-04,Clothes,Hats,LAUNDRY 15C METAL SIGN
564758,3.29,3.29,1,United Kingdom,30/8/2011,10:39,2011-08,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST
541424,2.46,2.46,1,United Kingdom,17/1/2011,17:57,2011-01,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM
559000,4.95,9.9,2,United Kingdom,5/7/2011,12:15,2011-07,Household,Curtains,SPOTTY BUNTING
550438,1.25,15,12,United Kingdom,18/4/2011,12:16,2011-04,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX
549556,2.55,10.2,4,United Kingdom,10/4/2011,12:53,2011-04,Clothes,Shoes,QUEENS GUARD COFFEE MUG
550474,0.83,0.83,1,United Kingdom,18/4/2011,13:58,2011-04,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI
559317,7.95,7.95,1,United Kingdom,7/7/2011,14:03,2011-07,Clothes,Hats,DOORMAT RED RETROSPOT
545906,2.1,12.6,6,United Kingdom,8/3/2011,09:23,2011-03,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET
